kplbn,plbn,isbn,box_number
2002601,11,0,A16-02-01
2007948,4,0,A13-01-31
2005651,7,0,A10-01-22
2004444,4,0,A13-01-02
2000905,4,0,A14-01-12
2003380,11,0,A16-02-13
2006038,14,0,A07-01-13
2001673,14,0,A14-02-21
2006656,17,0,박스넘버 미정
2004586,10,0,A15-01-04
2003586,26,0,A06-01-05
2002065,8,0,A09-01-31
2004132,10,0,A10-02-05
2003695,17,0,A08-01-21
2001859,11,0,박스넘버 미정
2006376,9,0,A09-01-20
2004873,12,0,A16-01-03
2005358,20,0,A12-01-22
2003329,17,0,A07-01-05
2003637,10,0,A16-01-24
2003995,7,0,A14-02-12
2008170,7,0,A12-02-20
2002082,9,0,A15-02-19
2001497,6,0,A16-02-26
2001432,10,0,A09-01-38
2007668,20,0,A10-02-08
2004950,29,0,A12-02-26
2002069,17,0,A12-02-22
2003900,7,0,A11-02-11
2003578,9,0,A13-01-27
2002129,11,0,A13-01-21
2002397,16,0,A09-01-27
2007616,18,0,A14-02-29
2003629,8,0,A12-02-30
2007229,15,0,A07-01-27
2000874,19,0,A07-01-24
2008116,15,0,A14-02-19
2004271,11,0,A15-02-22
2004269,7,0,A16-02-28
2003236,16,0,박스넘버 미정
2004267,8,0,A16-02-29
2001002,28,0,A07-01-28
2007984,14,0,A12-02-25
2001083,7,0,A12-02-31
2000979,17,0,A16-01-26
2004199,11,0,A10-02-11
2003641,11,0,A15-02-23
2005681,16,0,A16-02-25
2001911,14,0,박스넘버 미정
2003683,9,0,A10-02-10
2005477,8,0,A11-02-13
2005051,20,0,A09-01-29
2005979,2,0,A11-02-03
2007426,2,0,A14-02-09
2000867,19,0,A10-02-01
2003728,5,0,A11-02-05
2002508,2,0,A12-02-18
2003594,2,0,A13-01-19
2002507,7,0,A10-02-06
2007590,13,0,박스넘버 미정
2007946,5,0,A10-02-04
2004132,11,0,A10-01-16
2003642,13,0,A06-01-14
2003624,5,0,A06-01-07
2003184,10,0,A05-01-10
2004457,11,0,A07-01-11
2004597,18,0,A07-01-08
2003572,5,0,A05-01-17
2004598,16,0,박스넘버 미정
2001679,4,0,A08-01-03
2007921,2,0,A09-01-25
2001357,5,0,A06-01-17
2005391,2,0,A07-01-22
2003695,18,0,A08-01-20
2001859,12,0,A06-01-01
2003568,10,0,A07-01-17
2003638,12,0,A05-01-18
2003216,13,0,박스넘버 미정
2007976,2,0,A09-01-26
2004205,2,0,A08-01-16
2002511,2,0,A09-01-39
2003564,2,0,A06-01-19
2004827,12,0,A07-01-18
2007711,5,0,A05-01-15
2002017,12,0,A06-01-06
2001687,2,0,A07-01-16
2001676,18,0,A09-01-03
2007237,4,0,A08-01-24
2008756,4,0,A07-01-07
2007343,3,0,A09-01-09
2002395,5,0,A06-01-13
2001636,5,0,A05-01-03
2005073,4,0,A05-01-14
2003600,4,0,A05-01-07
2003911,4,0,A05-01-08
2003635,6,0,A09-01-11
2001684,2,0,A09-01-37
2005739,4,0,A10-01-09
2001688,13,0,A09-01-23
2001690,7,0,A08-01-25
2001680,17,0,A09-01-22
2001685,3,0,A09-01-16
2001691,3,0,A08-01-07
2004945,6,0,A06-01-03
2003046,16,0,A08-01-10
2003390,10,0,A09-01-14
2004932,21,0,A07-01-09
2001749,2,0,A08-01-09
2001072,3,0,A08-01-02
2004949,10,0,A06-01-04
2005653,4,0,A08-01-27
2004301,15,0,A09-01-02
2004457,12,0,A07-01-02
2004973,9,0,A09-01-04
2001681,12,0,A09-01-21
2006041,5,0,A08-01-04
2003207,10,0,A09-01-08
2003632,5,0,A07-01-03
2002775,5,0,A08-01-15
2000971,6,0,A05-01-16
2007690,2,0,A06-01-10
2001674,16,0,박스넘버 미정
2007254,4,0,A07-01-31
2001341,13,0,A09-01-12
2001683,3,0,A09-01-32
2003640,4,0,A07-01-06
2001068,3,0,A09-01-06
2004934,15,0,박스넘버 미정
2001431,17,0,A07-01-32
2001906,11,0,A05-01-12
2004455,5,0,A06-01-11
2001908,3,0,A05-01-11
2002259,9,0,A09-01-28
2001002,29,0,A07-01-29
65294,2,0,A09-01-30
2003725,23,0,A09-01-19
2001639,2,0,A09-01-34
2006085,2,0,A09-01-05
2003992,4,0,A09-01-10
2010566,4,0,A08-01-13
2006075,12,0,박스넘버 미정
146506,2,0,A05-01-01
2006193,2,0,A07-01-14
133017,3,0,A10-01-02
2005863,2,0,A09-01-15
2008305,2,0,A09-01-35
2007666,5,0,A09-01-13
2005093,5,0,A06-01-09
2006524,9,0,A05-01-04
2004597,19,0,A07-01-30
2004555,10,0,A08-01-14
2006042,5,0,A09-01-07
2005454,10,0,A09-01-33
103755,2,0,A08-01-26
2004457,13,0,A07-01-12
2005710,4,0,A08-01-05
2010561,4,0,A06-01-02
2001686,8,0,A07-01-34
2001431,18,0,A07-01-10
2003353,19,0,A06-01-20
2006814,3,0,A08-01-18
2003128,2,0,A08-01-17
2004827,13,0,A07-01-21
2003695,19,0,A08-01-19
2003568,11,0,A07-01-19
2001357,6,0,A06-01-16
2003638,13,0,박스넘버 미정
2007711,6,0,A05-01-19
2006787,2,0,A07-01-23
2002441,4,0,A12-01-17
2001464,4,0,A11-01-17
2004918,20,0,박스넘버 미정
2003209,4,0,A11-01-10
2005233,5,0,A13-01-35
2005232,9,0,A13-01-33
2002355,4,0,A13-01-17
2002449,6,0,A11-01-06
2004576,4,0,A11-01-20
2001692,3,0,박스넘버 미정
2004930,10,0,A12-01-20
2001971,11,0,박스넘버 미정
2001069,3,0,A11-01-28
2001682,6,0,A10-01-11
2010568,4,0,A12-02-07
2001071,3,0,A11-01-09
2004925,19,0,A12-01-21
2005342,20,0,A13-01-04
23692,1,0,A12-02-01
2005357,19,0,박스넘버 미정
85341,1,0,A12-01-12
2008113,2,0,A10-02-14
183378,1,0,A14-02-26
139940,1,0,A10-02-13
2001678,16,0,A11-01-18
2004554,2,0,A12-01-04
2006371,5,0,A12-02-14
2005447,14,0,A12-02-12
2003925,5,0,A10-01-08
38494,1,0,박스넘버 미정
139939,1,0,A11-01-24
2001464,5,0,A11-01-15
85294,1,0,A14-02-31
2005358,21,0,박스넘버 미정
46746,1,0,A12-02-08
2001833,16,0,A14-01-15
2001673,15,0,A14-01-02
2001436,5,0,A12-01-18
2002326,4,0,A10-01-30
94596,1,0,A13-01-06
2004132,12,0,A10-01-03
2003594,3,0,A13-01-20
2007590,14,0,박스넘버 미정
2007946,6,0,A10-02-17
37737,1,0,A14-01-03
2002533,2,0,A13-01-43
2002327,3,0,A14-01-11
2002544,2,0,A11-01-23
109725,1,0,A13-01-03
155738,1,0,A11-01-08
2003989,4,0,A11-01-30
2002536,2,0,A10-01-10
81200,1,0,A13-01-05
2003722,4,0,A10-01-21
2002534,2,0,A14-02-04
2002226,3,0,A14-01-06
2002542,2,0,A13-01-40
2002537,2,0,A11-01-22
5843,1,0,A11-01-14
2010137,2,0,A12-01-16
2004610,2,0,A10-01-23
2006073,3,0,A13-01-42
2003000,3,0,A10-01-24
115041,2,0,A10-01-01
2010141,2,0,A14-01-10
2003076,2,0,A12-01-25
2002233,5,0,A14-02-02
2002530,2,0,A14-02-03
2002529,2,0,A13-01-12
2002539,3,0,A13-01-37
2003999,23,0,A12-01-05
48464,1,0,A14-02-05
2002538,2,0,A14-01-04
2002744,3,0,A14-01-20
2001832,19,0,A13-01-38
2010146,2,0,A14-01-13
39910,1,0,A14-01-23
2008325,2,0,A11-02-01
113340,1,0,A12-02-17
2007918,2,0,A13-01-18
162215,1,0,A12-02-16
2007372,2,0,A11-02-02
72010,1,0,A14-02-14
2002069,18,0,A12-02-24
23851,1,0,A13-01-25
127612,1,0,A12-02-19
2003995,8,0,A14-02-11
145689,1,0,A13-01-22
2001158,12,0,A13-01-23
2007959,2,0,A13-01-29
2003683,10,0,A10-02-09
157555,1,0,A12-02-06
55218,1,0,A13-01-34
69788,1,0,A11-01-19
157564,1,0,A14-02-25
15157,1,0,A06-01-15
145422,1,0,A09-01-01
105168,1,0,A09-01-24
146313,1,0,A09-01-18
59250,1,0,A08-01-06
146314,1,0,A09-01-17
65482,1,0,A08-01-23
47094,1,0,A07-01-26
151446,1,0,A08-01-22
126699,1,0,A08-01-08
52812,1,0,A05-01-02
51882,1,0,A05-01-06
55395,1,0,A07-01-33
77355,1,0,A06-01-12
59257,1,0,A09-01-36
181023,1,0,A07-01-01
181060,1,0,A08-01-01
181003,1,0,A06-01-08
80383,1,0,A05-01-05
2003641,12,0,A15-02-25
120804,1,0,A14-02-30
55280,1,0,A10-02-12
2001444,4,0,A13-01-28
158930,1,0,A11-01-27
93972,1,0,A14-02-06
106379,2,0,A13-01-14
142279,1,0,A12-01-13
2006816,3,0,A12-02-13
45893,1,0,박스넘버 미정
2000913,4,0,A14-01-22
2004144,8,0,A13-01-11
59258,1,0,A10-01-14
133620,1,0,A10-01-17
55644,1,0,A12-01-24
2004501,2,0,A13-01-09
2004415,2,0,A12-01-03
16752,1,0,A11-01-21
23993,1,0,박스넘버 미정
116646,2,0,A10-01-28
2000985,13,0,A13-01-16
2004846,5,0,A10-01-06
2004502,6,0,A12-01-26
2005373,4,0,A12-01-15
2005996,5,0,A11-01-07
111196,2,0,A11-01-26
138332,1,0,A12-01-09
122551,1,0,A10-01-19
2004854,4,0,A10-01-04
79328,1,0,A10-01-18
2003061,10,0,A11-01-05
2003359,4,0,A10-01-26
2007551,3,0,A10-02-15
2010564,4,0,A10-01-12
151427,3,0,A11-01-11
144500,1,0,A12-02-15
2007516,4,0,A10-01-05
77202,1,0,박스넘버 미정
129536,1,0,A14-02-27
23851,2,0,A13-01-26
138324,1,0,A11-02-09
127612,2,0,A12-02-21
34131,1,0,A14-02-16
27074,1,0,A13-01-24
26457,1,0,A11-02-06
138325,1,0,A12-02-29
90767,1,0,A10-02-07
10323,1,0,A14-02-13
2001677,2,0,A11-02-07
65193,1,0,A12-01-01
183372,1,0,A11-01-01
181032,1,0,A13-01-01
10939,1,0,A13-01-39
67019,1,0,A13-01-15
147772,1,0,A12-01-19
116657,1,0,A11-01-02
64454,1,0,A14-01-17
40345,1,0,A10-01-29
126668,1,0,A14-01-09
51684,1,0,A12-01-02
50719,1,0,A12-01-14
2004454,19,0,A11-01-16
2007631,3,0,A12-02-10
84918,1,0,A14-01-19
51909,1,0,A10-01-07
126669,1,0,A14-01-07
2003062,2,0,A12-02-03
133028,3,0,A12-02-09
126663,1,0,A12-01-08
123440,1,0,A10-02-16
2000936,17,0,박스넘버 미정
183999,1,0,A12-01-28
2005386,19,0,박스넘버 미정
2005945,7,0,A12-02-02
2007966,5,0,A10-01-27
82145,1,0,A10-01-25
60746,1,0,A11-01-12
124686,1,0,박스넘버 미정
2007925,5,0,A12-01-07
2004007,3,0,A14-02-01
62522,1,0,A13-01-32
64451,1,0,A14-01-05
2006839,3,0,A14-02-22
2004059,3,0,A14-01-08
2005304,4,0,A14-02-24
129898,3,0,A13-01-41
129899,3,0,A12-01-27
2008776,2,0,A12-01-06
108382,1,0,A10-01-13
149499,1,0,A12-01-23
2008081,5,0,A13-01-10
2004558,3,0,A14-01-14
2007628,3,0,박스넘버 미정
142276,1,0,A14-01-16
83070,1,0,A14-01-21
150724,1,0,A11-02-10
2010136,2,0,A15-01-16
59249,1,0,A15-01-27
122883,1,0,A17-02-15
74767,1,0,A16-02-18
2004003,7,0,A15-01-06
117628,1,0,A16-02-16
2004012,4,0,A15-02-13
34137,1,0,A15-01-10
2002540,2,0,A15-01-12
2001326,2,0,A15-01-23
2003214,3,0,A15-01-15
13856,1,0,A16-02-05
91292,1,0,A15-01-22
2003324,3,0,A15-02-04
23410,1,0,A17-02-05
2010135,2,0,A18-01-24
2007943,3,0,A19-01-27
57600,1,0,A17-02-18
85196,1,0,A19-01-03
2004004,5,0,A15-01-19
85340,1,0,A17-02-22
83203,1,0,A18-01-26
2006866,3,0,A18-01-07
2010145,2,0,A17-02-11
2002543,2,0,A15-01-24
2006312,4,0,A17-02-24
2010143,2,0,A17-02-23
2004006,2,0,A16-01-11
90486,1,0,A18-01-05
2002535,2,0,A15-01-11
2001114,16,0,A16-01-05
2010138,2,0,A15-01-09
2010142,2,0,A17-02-10
53553,1,0,A16-02-10
2004013,2,0,A15-02-15
2002541,2,0,A15-02-02
183357,1,0,A15-01-20
83208,1,0,A15-01-28
2002026,3,0,A17-01-14
2010134,2,0,A16-01-10
2003249,2,0,A16-01-02
2003543,2,0,A18-01-31
2007235,3,0,A15-01-37
2010144,2,0,A18-01-09
2004966,18,0,A18-01-29
128889,1,0,A19-01-21
2010140,2,0,A15-01-14
156806,1,0,A19-01-07
44335,1,0,A16-02-08
2004008,8,0,A15-01-33
146166,1,0,A16-01-25
146182,1,0,A17-01-24
2007173,2,0,박스넘버 미정
106730,1,0,박스넘버 미정
70041,1,0,박스넘버 미정
146236,1,0,A15-02-17
53552,1,0,A18-02-20
146156,1,0,박스넘버 미정
2003996,4,0,박스넘버 미정
2003719,11,0,A16-01-27
53550,1,0,A17-01-25
2001435,4,0,A16-02-12
2002251,17,0,A18-01-22
111801,1,0,A19-01-05
2002632,2,0,A18-02-01
74761,1,0,A17-02-08
70728,1,0,A18-02-03
2006152,2,0,A16-01-20
62136,1,0,A15-01-05
2005974,2,0,A17-02-19
2005354,14,0,A17-02-26
2005348,11,0,A17-01-15
2005344,4,0,박스넘버 미정
2000980,8,0,A17-01-13
2002815,2,0,A16-02-07
2005352,4,0,A16-01-06
37232,1,0,A15-01-02
2005343,8,0,A17-02-14
2005356,8,0,A19-01-30
2000606,17,0,박스넘버 미정
2006324,17,0,A17-02-03
2003380,12,0,A16-02-20
2002801,13,0,A16-01-01
2007593,10,0,A16-01-08
2003663,9,0,박스넘버 미정
2007601,14,0,A18-01-06
2000210,15,0,A17-01-03
2002803,14,0,A17-01-02
2003343,19,0,박스넘버 미정
2002804,5,0,A17-02-17
180993,1,0,A17-02-16
80211,1,0,A15-01-38
163893,1,0,A18-02-16
134478,1,0,A17-01-19
2003379,2,0,A15-02-16
2001570,3,0,A17-02-28
44923,3,0,A18-01-16
2002077,4,0,박스넘버 미정
4435,2,0,A18-02-30
4956,1,0,박스넘버 미정
146708,2,0,박스넘버 미정
145968,2,0,박스넘버 미정
138326,1,0,A16-01-32
138320,1,0,A15-01-36
2003478,21,0,박스넘버 미정
66177,1,0,박스넘버 미정
2007632,3,0,A16-01-31
2002261,4,0,A15-02-11
181172,1,0,A17-02-13
65356,1,0,A16-01-16
21862,1,0,A17-02-02
2001591,3,0,박스넘버 미정
2002509,4,0,A16-01-12
2006564,3,0,A15-01-07
65355,1,0,A16-01-07
132276,1,0,A17-02-20
2005398,3,0,A18-01-15
2003571,5,0,박스넘버 미정
52596,1,0,A19-01-19
2004438,4,0,A19-01-23
2008284,4,0,A17-02-04
109435,1,0,A17-01-12
120187,1,0,A17-01-27
22008,1,0,A17-02-30
41922,1,0,A18-02-24
2009720,2,0,A18-02-23
83486,1,0,A15-02-21
57723,1,0,A18-01-04
2006563,4,0,A18-02-13
147777,1,0,A15-01-17
2003584,2,0,A18-01-23
44296,1,0,A19-01-11
53301,1,0,A17-01-10
2001371,4,0,A19-01-10
122880,1,0,A19-01-28
2005409,6,0,A19-01-02
2006867,10,0,박스넘버 미정
57151,1,0,A17-02-06
124812,1,0,A15-02-01
2005262,4,0,A17-02-07
2006083,4,0,A17-01-05
2005411,3,0,A18-02-05
2005263,4,0,A17-02-01
2003325,4,0,A15-02-10
2006542,4,0,A16-02-11
119508,1,0,A19-01-08
2006561,7,0,A19-01-14
115050,1,0,A17-01-17
163892,1,0,박스넘버 미정
2010487,2,0,A17-01-20
163894,1,0,A16-01-21
116623,1,0,A17-01-18
2009781,3,0,박스넘버 미정
115049,1,0,A18-02-15
124786,1,0,A17-01-01
2004697,4,0,박스넘버 미정
161184,1,0,박스넘버 미정
2006158,10,0,A18-02-06
2006409,2,0,박스넘버 미정
132944,1,0,박스넘버 미정
44197,1,0,A17-01-21
2004195,8,0,A18-02-18
2002657,2,0,A19-01-20
2002634,2,0,A19-01-25
93574,1,0,A18-01-27
146818,1,0,박스넘버 미정
2005326,4,0,A19-01-26
111683,1,0,A18-01-25
10633,1,0,A17-01-23
181156,1,0,A18-01-03
81344,1,0,A16-01-19
2007138,4,0,박스넘버 미정
44236,1,0,A17-01-11
82951,1,0,A18-02-17
78299,1,0,박스넘버 미정
2006824,2,0,A19-01-18
2006566,4,0,A18-02-12
2005832,4,0,A18-02-19
156808,2,0,A18-01-28
2006554,3,0,A19-01-13
2002633,2,0,A19-01-24
98213,2,0,A19-01-22
44188,2,0,A16-01-18
86267,1,0,A16-02-23
2002918,2,0,A17-02-27
